,timestamp,component,metric_name,value,unit
0,2026-06-29 17:00:00,recommendation-api,recommendation_requests_total,3000.0,count
1,2026-06-29 17:00:00,recommendation-api,recommendation_latency_ms,126.76,ms
2,2026-06-29 17:00:00,recommendation-api,recommendation_error_rate,0.028,%
3,2026-06-29 17:00:00,recommendation-db,db_cpu_percent,36.3,%
4,2026-06-29 17:00:00,recommendation-db,db_connection_count,29.0,count
5,2026-06-29 17:00:00,recommendation-db,db_read_qps,141.0,qps
6,2026-06-29 17:00:00,recommendation-db,db_write_qps,25.0,qps
7,2026-06-29 17:00:00,recommendation-db,db_query_latency_ms,4.43,ms
8,2026-06-29 17:00:00,recommendation-cache,cache_hit_rate,88.25,%
9,2026-06-29 17:00:00,recommendation-cache,cache_refresh_rate,15.0,ops
10,2026-06-29 17:00:00,recommendation-cache,cache_evictions,4.0,count
11,2026-06-29 17:00:00,ranking-service,pod_cpu_percent,50.8,%
12,2026-06-29 17:00:00,ranking-service,pod_memory_percent,53.1,%
13,2026-06-29 17:00:00,business,recommendation_ctr,4.15,%
14,2026-06-29 17:00:00,business,homepage_load_time,346.76,ms
15,2026-06-29 17:01:00,recommendation-api,recommendation_requests_total,3019.0,count
16,2026-06-29 17:01:00,recommendation-api,recommendation_latency_ms,119.96,ms
17,2026-06-29 17:01:00,recommendation-api,recommendation_error_rate,0.011,%
18,2026-06-29 17:01:00,recommendation-db,db_cpu_percent,29.5,%
19,2026-06-29 17:01:00,recommendation-db,db_connection_count,25.0,count
20,2026-06-29 17:01:00,recommendation-db,db_read_qps,147.0,qps
21,2026-06-29 17:01:00,recommendation-db,db_write_qps,12.0,qps
22,2026-06-29 17:01:00,recommendation-db,db_query_latency_ms,4.2,ms
23,2026-06-29 17:01:00,recommendation-cache,cache_hit_rate,87.77,%
24,2026-06-29 17:01:00,recommendation-cache,cache_refresh_rate,15.0,ops
25,2026-06-29 17:01:00,recommendation-cache,cache_evictions,2.0,count
26,2026-06-29 17:01:00,ranking-service,pod_cpu_percent,52.3,%
27,2026-06-29 17:01:00,ranking-service,pod_memory_percent,53.2,%
28,2026-06-29 17:01:00,business,recommendation_ctr,4.06,%
29,2026-06-29 17:01:00,business,homepage_load_time,339.96,ms
30,2026-06-29 17:02:00,recommendation-api,recommendation_requests_total,3039.0,count
31,2026-06-29 17:02:00,recommendation-api,recommendation_latency_ms,116.22,ms
32,2026-06-29 17:02:00,recommendation-api,recommendation_error_rate,0.017,%
33,2026-06-29 17:02:00,recommendation-db,db_cpu_percent,33.3,%
34,2026-06-29 17:02:00,recommendation-db,db_connection_count,26.0,count
35,2026-06-29 17:02:00,recommendation-db,db_read_qps,145.0,qps
36,2026-06-29 17:02:00,recommendation-db,db_write_qps,16.0,qps
37,2026-06-29 17:02:00,recommendation-db,db_query_latency_ms,4.61,ms
38,2026-06-29 17:02:00,recommendation-cache,cache_hit_rate,88.03,%
39,2026-06-29 17:02:00,recommendation-cache,cache_refresh_rate,13.0,ops
40,2026-06-29 17:02:00,recommendation-cache,cache_evictions,2.0,count
41,2026-06-29 17:02:00,ranking-service,pod_cpu_percent,53.0,%
42,2026-06-29 17:02:00,ranking-service,pod_memory_percent,53.2,%
43,2026-06-29 17:02:00,business,recommendation_ctr,4.14,%
44,2026-06-29 17:02:00,business,homepage_load_time,336.22,ms
45,2026-06-29 17:03:00,recommendation-api,recommendation_requests_total,3059.0,count
46,2026-06-29 17:03:00,recommendation-api,recommendation_latency_ms,119.19,ms
47,2026-06-29 17:03:00,recommendation-api,recommendation_error_rate,0.027,%
